Date (UTC),Platform (Optional),Asset Sent,Amount Sent,Asset Received,Amount Received,Fee Currency (Optional),Fee Amount (Optional),Type,Description (Optional),TxHash (Optional)
12/14/2025 23:51:55,Keeta,,,KTA,1000,,,Deposit,From keeta_aabsus…vgkpzy,286EEF16F938A990B33F34749F0FEC1B9B48F16D86BD04F900FFE8168BB9F99B
12/14/2025 23:52:35,Keeta,,,KTA,79800,,,Deposit,From keeta_aabsus…vgkpzy,F0AF5B9CDFCA870FD027913D2263F22C99B14FAC90466377A1873F369EDB8EA9
02/23/2026 23:08:00,Keeta,KTA,0.05,,,,,Withdrawal,To keeta_aab7wo…3ieona,2EB810B83027386DF08BE80032FAD80FFFC2FFA2D65D97963F9735E97A6C5941
03/04/2026 13:38:31,Keeta,KTA,0.05,,,,,Withdrawal,To keeta_aab7wo…3ieona,F73E5645DA708ABF1B2E923381DEF48B398F4F6784F9C997979E833AF5175E69
03/06/2026 17:40:52,Keeta,KTA,0.05,,,,,Withdrawal,To keeta_aab7wo…3ieona,98504096DFFD3298EFBA17CF9E946E452EDF61AA675E253BB974D77FEE0EEEF7
03/21/2026 18:26:28,Keeta,KTA,0.05,,,,,Withdrawal,To keeta_aab7wo…3ieona,01999B95C657868B6546F0229DF439B59C37E8F362AD54E0D1A3F0016BECF384
07/03/2026 13:12:52,Keeta,KTA,0.05,,,,,Withdrawal,To keeta_aab7wo…3ieona,CFBB95988E37A5CD857018C8392ECF1FE31310CF949670954F1CF1F8F7573587
